After this point many of the republicans were arrested in Free State `` round ups '' when they had come out of hiding and returned home .	1.0	were arrested in	many of the republicans	Free State "round ups"
After this point many of the republicans were arrested in Free State `` round ups '' when they had come out of hiding and returned home .	1.0	had come out of	many of the republicans	hiding
After this point many of the republicans were arrested in Free State `` round ups '' when they had come out of hiding and returned home .	1.0	returned	many of the republicans	home
Although Knievel broke his arms , he was more distraught over a permanent injury his accident caused to the cameraman .	1.0	broke	Knievel	his arms
Although Knievel broke his arms , he was more distraught over a permanent injury his accident caused to the cameraman .	1.0	was distraught over	Knievel	a permanent injury his accident caused to the cameraman
Although Knievel broke his arms , he was more distraught over a permanent injury his accident caused to the cameraman .	1.0	caused	his accident	a permanent injury to the cameraman
Although under constant attack from kamikazes as well as fighters and dive-bombers , `` Hazelwood '' came through the invasion untouched and on the night of 25 February sank two small enemy freighters with her guns .	1.0	was under constant attack from	Hazelwood	kamikazes
Although under constant attack from kamikazes as well as fighters and dive-bombers , `` Hazelwood '' came through the invasion untouched and on the night of 25 February sank two small enemy freighters with her guns .	1.0	was under constant attack from	Hazelwood	fighters
Although under constant attack from kamikazes as well as fighters and dive-bombers , `` Hazelwood '' came through the invasion untouched and on the night of 25 February sank two small enemy freighters with her guns .	1.0	was under constant attack from	Hazelwood	dive-bombers
Although under constant attack from kamikazes as well as fighters and dive-bombers , `` Hazelwood '' came through the invasion untouched and on the night of 25 February sank two small enemy freighters with her guns .	1.0	came through	Hazelwood	the invasion untouched
Although under constant attack from kamikazes as well as fighters and dive-bombers , `` Hazelwood '' came through the invasion untouched and on the night of 25 February sank two small enemy freighters with her guns .	1.0	sank	Hazelwood	two small enemy freighters
Although under constant attack from kamikazes as well as fighters and dive-bombers , `` Hazelwood '' came through the invasion untouched and on the night of 25 February sank two small enemy freighters with her guns .	1.0	sank two small enemy freighters with	Hazelwood	her guns
Although under constant attack from kamikazes as well as fighters and dive-bombers , `` Hazelwood '' came through the invasion untouched and on the night of 25 February sank two small enemy freighters with her guns .	1.0	sank two small enemy freighters on	Hazelwood	the night of 25 February
An animal that cares for its young but shows no other sociality traits is said to be `` subsocial '' .	1.0	cares for	An animal	its young
An animal that cares for its young but shows no other sociality traits is said to be `` subsocial '' .	1.0	is said to be	An animal that cares for its young but shows no other sociality traits	subsocial
An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .	1.0	had size of	original limited artist edition	250
An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .	1.0	was published in	original limited artist edition	1989
An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .	1.0	was	original limited artist edition	oversized fine press slip-cased book
An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .	1.0	had	oversized fine press slip-cased book	stainless steel faced boards
An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .	1.0	had	oversized fine press slip-cased book	digital clock inset into the front cover
And ABS has formed a partnership with Habitat for Humanity to give a free Bible to each of its new homeowners in the United States .	1.0	has formed a partnership with	ABS	Habitat for Humanity
And ABS has formed a partnership with Habitat for Humanity to give a free Bible to each of its new homeowners in the United States .	1.0	to give	ABS	a free Bible to each of its new homeowners in the United States
And he was in Ali 's army in the Battle of Jamal and later it was Muhammad ibn Abu Bakr who escorted Aisha back to Madina .	1.0	was in army of	he	Ali
And he was in Ali 's army in the Battle of Jamal and later it was Muhammad ibn Abu Bakr who escorted Aisha back to Madina .	1.0	was in	he	Battle of Jamal
And he was in Ali 's army in the Battle of Jamal and later it was Muhammad ibn Abu Bakr who escorted Aisha back to Madina .	1.0	escorted	Muhammad ibn Abu Bakr	Aisha
And he was in Ali 's army in the Battle of Jamal and later it was Muhammad ibn Abu Bakr who escorted Aisha back to Madina .	1.0	escorted Aisha back to	Muhammad ibn Abu Bakr	Madina
Andrea Bianco 's atlas of 1436 comprises ten leaves of vellum , measuring , in an 18th-century binding .	1.0	has date	Andrea Bianco's atlas	1436
Andrea Bianco 's atlas of 1436 comprises ten leaves of vellum , measuring , in an 18th-century binding .	1.0	comprises	Andrea Bianco's atlas	ten leaves of vellum
Andrea Bianco 's atlas of 1436 comprises ten leaves of vellum , measuring , in an 18th-century binding .	1.0	has binding	Andrea Bianco's atlas	18th-century binding
Apartment buildings , shops , medical clinics , cinemas etc. were built in close proximity to the MAZ plant , providing plant workers with local necessities .	1.0	were built in close proximity to	Apartment buildings, shops, medical clinics, cinemas etc.	the MAZ plant
Apartment buildings , shops , medical clinics , cinemas etc. were built in close proximity to the MAZ plant , providing plant workers with local necessities .	1.0	providing	Apartment buildings, shops, medical clinics, cinemas etc.	plant workers with local necessities
Applications can use this service to record activity for a production system while implementations of other OSIDs can use the service to record detailed data during development , debugging , or analyzing performance .	1.0	can use	Applications	this service
Applications can use this service to record activity for a production system while implementations of other OSIDs can use the service to record detailed data during development , debugging , or analyzing performance .	1.0	use this service to	Applications	record activity for a production system
Applications can use this service to record activity for a production system while implementations of other OSIDs can use the service to record detailed data during development , debugging , or analyzing performance .	1.0	can use	implementations of other OSIDs	the service
Applications can use this service to record activity for a production system while implementations of other OSIDs can use the service to record detailed data during development , debugging , or analyzing performance .	1.0	use the service to	implementations of other OSIDs	record detailed data during development, debugging, or analyzing performance
Applying this technique facilitates the connection of the center of the foot with the lower abdomen .	1.0	facilitates	Applying this technique	the connection of the center of the foot with the lower abdomen
Applying this technique facilitates the connection of the center of the foot with the lower abdomen .	1.0	connects with	the center of the foot	the lower abdomen
